"p","n","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
1,150,0.1,0.526315789473684,0.368421052631579,0.447368421052632,0.394736842105263,0.368421052631579,0.5,0.447368421052632,0.447368421052632,0.605263157894737,0.421052631578947,0.578947368421053,0.473684210526316,0.447368421052632,0.421052631578947,0.552631578947368,0.368421052631579,0.5,0.447368421052632,0.342105263157895,0.368421052631579,0.5,0.421052631578947,0.342105263157895,0.473684210526316,0.552631578947368,0.394736842105263,0.473684210526316,0.526315789473684,0.5,0.447368421052632,0.473684210526316,0.526315789473684,0.394736842105263,0.368421052631579,0.394736842105263,0.421052631578947,0.421052631578947,0.5,0.526315789473684,0.526315789473684,0.5,0.605263157894737,0.394736842105263,0.5,0.421052631578947
1,250,0.1,0.306451612903226,0.403225806451613,0.32258064516129,0.354838709677419,0.370967741935484,0.354838709677419,0.387096774193548,0.338709677419355,0.387096774193548,0.370967741935484,0.306451612903226,0.306451612903226,0.354838709677419,0.403225806451613,0.338709677419355,0.387096774193548,0.403225806451613,0.306451612903226,0.387096774193548,0.32258064516129,0.354838709677419,0.32258064516129,0.403225806451613,0.32258064516129,0.370967741935484,0.274193548387097,0.354838709677419,0.306451612903226,0.32258064516129,0.387096774193548,0.274193548387097,0.338709677419355,0.32258064516129,0.403225806451613,0.370967741935484,0.274193548387097,0.32258064516129,0.354838709677419,0.370967741935484,0.306451612903226,0.32258064516129,0.306451612903226,0.354838709677419,0.354838709677419,0.354838709677419
1,350,0.1,0.238636363636364,0.204545454545455,0.215909090909091,0.215909090909091,0.204545454545455,0.215909090909091,0.227272727272727,0.170454545454545,0.227272727272727,0.238636363636364,0.170454545454545,0.25,0.159090909090909,0.272727272727273,0.295454545454545,0.25,0.25,0.227272727272727,0.238636363636364,0.227272727272727,0.215909090909091,0.25,0.227272727272727,0.215909090909091,0.238636363636364,0.193181818181818,0.284090909090909,0.261363636363636,0.25,0.181818181818182,0.261363636363636,0.261363636363636,0.193181818181818,0.204545454545455,0.238636363636364,0.227272727272727,0.261363636363636,0.25,0.272727272727273,0.227272727272727,0.215909090909091,0.193181818181818,0.261363636363636,0.272727272727273,0.272727272727273
1,450,0.1,0.151785714285714,0.169642857142857,0.232142857142857,0.1875,0.1875,0.169642857142857,0.241071428571429,0.142857142857143,0.169642857142857,0.169642857142857,0.205357142857143,0.178571428571429,0.232142857142857,0.1875,0.160714285714286,0.160714285714286,0.223214285714286,0.196428571428571,0.151785714285714,0.267857142857143,0.205357142857143,0.160714285714286,0.169642857142857,0.196428571428571,0.1875,0.196428571428571,0.133928571428571,0.1875,0.169642857142857,0.1875,0.169642857142857,0.196428571428571,0.214285714285714,0.196428571428571,0.133928571428571,0.196428571428571,0.151785714285714,0.160714285714286,0.151785714285714,0.160714285714286,0.151785714285714,0.205357142857143,0.214285714285714,0.169642857142857,0.1875
1,550,0.1,0.13768115942029,0.166666666666667,0.195652173913043,0.173913043478261,0.181159420289855,0.144927536231884,0.130434782608696,0.152173913043478,0.144927536231884,0.108695652173913,0.130434782608696,0.144927536231884,0.144927536231884,0.173913043478261,0.166666666666667,0.159420289855073,0.152173913043478,0.130434782608696,0.152173913043478,0.123188405797101,0.188405797101449,0.173913043478261,0.130434782608696,0.152173913043478,0.13768115942029,0.130434782608696,0.13768115942029,0.166666666666667,0.115942028985507,0.144927536231884,0.181159420289855,0.166666666666667,0.130434782608696,0.166666666666667,0.130434782608696,0.144927536231884,0.123188405797101,0.13768115942029,0.159420289855073,0.130434782608696,0.115942028985507,0.152173913043478,0.173913043478261,0.144927536231884,0.130434782608696
1,650,0.1,0.104938271604938,0.0925925925925926,0.0987654320987654,0.117283950617284,0.111111111111111,0.148148148148148,0.104938271604938,0.111111111111111,0.117283950617284,0.0987654320987654,0.117283950617284,0.12962962962963,0.0864197530864198,0.117283950617284,0.123456790123457,0.117283950617284,0.111111111111111,0.0987654320987654,0.0925925925925926,0.135802469135803,0.12962962962963,0.141975308641975,0.0925925925925926,0.104938271604938,0.104938271604938,0.0987654320987654,0.0864197530864198,0.111111111111111,0.12962962962963,0.104938271604938,0.117283950617284,0.111111111111111,0.0740740740740741,0.12962962962963,0.123456790123457,0.104938271604938,0.0864197530864198,0.0925925925925926,0.104938271604938,0.0864197530864198,0.123456790123457,0.0802469135802469,0.0987654320987654,0.0925925925925926,0.104938271604938
1,150,2,0.0789473684210527,0.0789473684210527,0.105263157894737,0.131578947368421,0.105263157894737,0.131578947368421,0.105263157894737,0.105263157894737,0.131578947368421,0.105263157894737,0.0526315789473685,0.105263157894737,0.0789473684210527,0.0526315789473685,0.0789473684210527,0.0789473684210527,0.105263157894737,0.0526315789473685,0.105263157894737,0.0526315789473685,0.0789473684210527,0.131578947368421,0.105263157894737,0.0789473684210527,0.105263157894737,0.105263157894737,0.0789473684210527,0.105263157894737,0.0526315789473685,0.131578947368421,0.105263157894737,0.0526315789473685,0.0526315789473685,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.105263157894737,0.0526315789473685,0.0789473684210527,0.131578947368421,0.105263157894737,0.0526315789473685,0.0526315789473685,0.0526315789473685
1,250,2,0.032258064516129,0.032258064516129,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0806451612903226,0.0161290322580645,0.0483870967741935,0.0806451612903226,0.0645161290322581,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.0161290322580645,0.0161290322580645,0.032258064516129,0.032258064516129,0.0806451612903226,0.0645161290322581,0.0161290322580645,0.0645161290322581,0.0645161290322581,0.032258064516129,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0161290322580645,0.0483870967741935,0.0161290322580645,0.032258064516129,0.032258064516129,0.0806451612903226,0.0161290322580645,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.0645161290322581
1,350,2,0.0227272727272727,0.0227272727272727,0.0340909090909091,0.0340909090909091,0.0227272727272727,0.0227272727272727,0.0340909090909091,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0113636363636364,0.0340909090909091,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0113636363636364,0.0340909090909091,0.0113636363636364,0,0.0227272727272727,0.0113636363636364,0.0227272727272727,0.0227272727272727,0.0340909090909091,0.0340909090909091,0.0340909090909091,0.0340909090909091,0.0113636363636364,0.0340909090909091,0.0113636363636364,0.0340909090909091,0.0340909090909091,0.0454545454545454,0,0.0227272727272727,0.0454545454545454
1,450,2,0.0089285714285714,0.0178571428571429,0.0089285714285714,0.0089285714285714,0,0.0089285714285714,0.0178571428571429,0.0178571428571429,0,0.0178571428571429,0.0089285714285714,0.0089285714285714,0.0178571428571429,0.0357142857142857,0.0267857142857143,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.0178571428571429,0.0089285714285714,0.0267857142857143,0.0178571428571429,0.0178571428571429,0.0089285714285714,0.0267857142857143,0.0089285714285714,0,0,0.0089285714285714,0.0357142857142857,0,0.0267857142857143,0.0267857142857143,0.0178571428571429,0.0267857142857143,0.0089285714285714,0.0357142857142857,0.0089285714285714,0.0089285714285714,0.0267857142857143,0.0178571428571429,0.0089285714285714,0.0178571428571429
1,550,2,0.0144927536231884,0.0144927536231884,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.0144927536231884,0,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.0144927536231884,0.00724637681159424,0,0.00724637681159424,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0,0.00724637681159424,0,0,0.0144927536231884,0.0144927536231884,0,0,0,0.0217391304347826,0,0,0.0144927536231884,0.0144927536231884
1,650,2,0.00617283950617287,0,0.00617283950617287,0.0123456790123457,0.00617283950617287,0.00617283950617287,0.00617283950617287,0,0.00617283950617287,0.00617283950617287,0.00617283950617287,0.00617283950617287,0,0,0.0123456790123457,0.0123456790123457,0.00617283950617287,0.00617283950617287,0.0123456790123457,0,0,0.00617283950617287,0,0.0123456790123457,0.00617283950617287,0,0,0.0185185185185185,0.00617283950617287,0,0.00617283950617287,0.00617283950617287,0,0.0123456790123457,0.00617283950617287,0.00617283950617287,0.00617283950617287,0,0.0123456790123457,0.00617283950617287,0.00617283950617287,0,0,0,0
